Date,Open,High,Low,Close,Adj Close,Volume
05-06-2023,1321.400024,1405,1314.050049,1381.150024,1356.41687,859795
06-06-2023,1391,1455,1380.050049,1445.650024,1419.761719,1441192
07-06-2023,1445.650024,1479.949951,1415.5,1458.050049,1431.939697,711071
08-06-2023,1458.050049,1476.800049,1422,1462.699951,1436.506348,590709
09-06-2023,1471,1496,1435.699951,1489.400024,1462.728394,471030
12-06-2023,1502,1506,1469.300049,1493.050049,1466.312988,326237
13-06-2023,1493.099976,1531.099976,1484,1528.349976,1500.980835,460225
14-06-2023,1531,1550,1516,1543.5,1515.859497,407508
15-06-2023,1543.550049,1575.400024,1535.050049,1562.949951,1534.961182,404812
16-06-2023,1563.5,1576.949951,1540.25,1555.849976,1531.908813,287616
19-06-2023,1565,1565,1508.099976,1558.349976,1534.370361,284510
20-06-2023,1571,1610,1571,1594.949951,1570.407227,1126620
21-06-2023,1594.949951,1630,1594.949951,1622.5,1597.533325,738206
22-06-2023,1624.949951,1632,1556.25,1568.900024,1544.758057,303044
23-06-2023,1571.300049,1630,1571.300049,1622.449951,1597.484009,964057
26-06-2023,1619.849976,1700,1610,1678,1652.179321,970090
27-06-2023,1689,1727,1687.150024,1722.949951,1696.4375,851711
28-06-2023,1726.949951,1743.949951,1695.5,1715.199951,1688.806763,321772
30-06-2023,1720.199951,1725,1697.400024,1718.800049,1692.35144,260133
03-07-2023,1729,1766,1726.449951,1748.050049,1721.151367,409735
04-07-2023,1765.349976,1793.699951,1752.449951,1774.400024,1747.095947,524820
05-07-2023,1790,1801.150024,1764,1798.25,1770.578857,499497
06-07-2023,1795.050049,1795.050049,1751.599976,1763.099976,1735.969727,249473
07-07-2023,1762,1781.599976,1705.099976,1712.150024,1685.803711,351730
10-07-2023,1722.900024,1724,1636.199951,1709.900024,1683.588379,447282
11-07-2023,1717.949951,1747,1704.099976,1740.449951,1713.668213,282231
12-07-2023,1750,1769.849976,1740.050049,1747.550049,1720.659058,292400
13-07-2023,1761,1804.849976,1730.25,1744.150024,1717.311279,831590
14-07-2023,1745,1804,1701.5,1708.300049,1682.013062,1669971
17-07-2023,1622,1638.800049,1570,1587.849976,1563.416382,2155613
18-07-2023,1598.949951,1600,1454,1461.949951,1439.453857,2304083
19-07-2023,1454,1527.900024,1452,1504.050049,1480.906006,1791574
20-07-2023,1517.5,1578.449951,1515.099976,1570.5,1546.333374,1085712
21-07-2023,1567,1630,1547.849976,1623.849976,1608.335327,1001914
24-07-2023,1629.849976,1654.199951,1586.199951,1597.199951,1581.939941,655490
25-07-2023,1608.900024,1618.800049,1572.050049,1599.150024,1583.871338,345034
26-07-2023,1607.300049,1616.75,1585.550049,1592.699951,1577.48291,228653
27-07-2023,1605.849976,1617.050049,1572.699951,1590.849976,1575.650635,211481
28-07-2023,1592.849976,1598.75,1545,1554.449951,1539.598389,312592
31-07-2023,1560.449951,1569.050049,1524.699951,1541.099976,1526.375854,454373
01-08-2023,1549.400024,1549.400024,1510.400024,1515.900024,1501.416748,281717
02-08-2023,1520,1525,1475,1478.650024,1464.522583,324638
03-08-2023,1476.949951,1498.949951,1462,1487.849976,1473.634644,219265
04-08-2023,1503.900024,1517.949951,1495.699951,1503.949951,1489.580811,203558
07-08-2023,1532,1537.949951,1501.050049,1513.949951,1499.485352,260587
08-08-2023,1528.449951,1730,1525,1701,1684.748169,2312527
09-08-2023,1720,1774.949951,1664.599976,1734.150024,1717.581543,1323986
10-08-2023,1721,1758.400024,1701.75,1737.5,1720.899536,549413
11-08-2023,1740.949951,1746.5,1706,1719.599976,1703.170532,274139
14-08-2023,1717,1800.949951,1712.400024,1775.449951,1758.486816,1044893
16-08-2023,1779.900024,1810,1750,1773.449951,1756.505981,797919
17-08-2023,1769.800049,1801.949951,1762.699951,1779.800049,1762.79541,306085
18-08-2023,1777.050049,1778.349976,1741.25,1761.25,1744.422607,262735
21-08-2023,1761.449951,1773.25,1745.550049,1761.800049,1744.967407,159168
22-08-2023,1768.699951,1803.25,1755.199951,1761.699951,1744.868164,370739
23-08-2023,1750,1761,1726,1753.199951,1736.449463,310910
24-08-2023,1765,1779.449951,1701.050049,1711.199951,1694.850708,318722
25-08-2023,1719,1728,1671.050049,1714.599976,1698.218262,218488
28-08-2023,1700.050049,1800,1700.050049,1794.199951,1777.057739,526410
29-08-2023,1806,1807.900024,1757,1775.300049,1758.338379,343822
30-08-2023,1794.800049,1802.949951,1776.25,1792.099976,1774.977783,352728
31-08-2023,1805,1881,1795.849976,1869.849976,1851.984985,1637392
01-09-2023,1895,1937.25,1886.300049,1915.25,1896.951172,1075423
04-09-2023,1933,1933,1880.800049,1922,1903.636719,454708
05-09-2023,1925,1925,1835,1849.949951,1832.275146,731407
06-09-2023,1865,1882.150024,1815,1826.199951,1808.752075,327461
07-09-2023,1835,1858,1815.550049,1831.099976,1813.605225,316260
08-09-2023,1832,1888.800049,1832,1876.800049,1858.868652,385985
11-09-2023,1879.699951,1921.949951,1861.5,1880.400024,1862.434204,403075
12-09-2023,1884.650024,1884.699951,1762.050049,1770.599976,1753.68335,488490
13-09-2023,1772,1797.550049,1705,1756.199951,1739.420776,584196
14-09-2023,1763,1793.699951,1740.050049,1788.050049,1770.966675,283257
15-09-2023,1808.699951,1902.449951,1803,1893.550049,1875.458618,820331
18-09-2023,1905,1906.25,1875.050049,1897.849976,1879.717407,314208
20-09-2023,1892,1897.849976,1827,1837.150024,1819.597412,287664
21-09-2023,1833.050049,1882.349976,1804.949951,1865.699951,1847.874634,315575
22-09-2023,1864,1879.5,1819,1842.400024,1824.797363,265844
25-09-2023,1852.699951,1875,1836.300049,1864.699951,1846.884155,217613
26-09-2023,1890,1890,1844.400024,1859.900024,1842.130005,277006
27-09-2023,1880,1965.900024,1852.949951,1943.699951,1925.129272,955518
28-09-2023,1947,1951.849976,1866.400024,1874.349976,1856.441895,677028
29-09-2023,1883,1883,1837.150024,1850.650024,1832.968506,407134
03-10-2023,1847,1867.150024,1824.050049,1840.25,1822.667725,306772
04-10-2023,1844.699951,1866,1826.550049,1858.5,1840.74353,304286
05-10-2023,1873.650024,1999.800049,1855.050049,1989.199951,1970.194702,1561960
06-10-2023,2001,2042.949951,1960,1977.650024,1958.755005,1264162
09-10-2023,1937,2069.350098,1934.900024,2040.349976,2020.855957,1238551
10-10-2023,2055,2109,2045,2071.699951,2051.906494,892968
11-10-2023,2071,2136,2051.899902,2102.699951,2082.610352,881995
12-10-2023,2124,2149.800049,2080,2107.350098,2087.216064,643394
13-10-2023,2190,2249.25,2055.550049,2069.600098,2049.82666,4862234
16-10-2023,2093.899902,2114,2046,2059.449951,2039.77356,847049
17-10-2023,2087,2129,2075.050049,2107.300049,2087.16626,602580
18-10-2023,2132,2198,2106.050049,2161.050049,2140.402832,1194313
19-10-2023,2150,2205,2132.350098,2200.449951,2179.42627,666793
20-10-2023,2204,2369.699951,2196.649902,2343.449951,2334.533936,3406239
23-10-2023,2348,2437,2211.25,2235.050049,2226.546387,1817473
25-10-2023,2255,2332.300049,2207.300049,2304.100098,2295.33374,1091910
26-10-2023,2294,2432.149902,2241.699951,2413.899902,2404.71582,1679781
27-10-2023,2420,2549.149902,2420,2535.800049,2526.1521,1723752
30-10-2023,2535,2576.149902,2460,2563.600098,2553.846436,1435050
31-10-2023,2561,2599.149902,2532.100098,2581.949951,2572.126465,807854
01-11-2023,2586.949951,2677.149902,2571.5,2629.550049,2619.54541,1313008
02-11-2023,2670,2687,2627,2640.699951,2630.652832,533308
03-11-2023,2650,2850,2634,2804.5,2793.829834,1672132
06-11-2023,2809,2897.850098,2587,2626.449951,2616.457031,2420122
07-11-2023,2630,2649.800049,2493.399902,2536.550049,2526.89917,1951788
08-11-2023,2549,2699,2547.600098,2676.050049,2665.868408,1341585
09-11-2023,2668.949951,2760.899902,2655.300049,2704.199951,2693.911377,1029595
10-11-2023,2723.100098,2744,2669.149902,2720.350098,2710,751337
13-11-2023,2731.949951,2830,2711,2814.850098,2804.140381,781653
15-11-2023,2839,3090,2834,3035.100098,3023.55249,2254540
16-11-2023,3045,3046.899902,2921.050049,2972.050049,2960.742432,1008322
17-11-2023,2972.050049,3049,2890,2918.949951,2907.844238,959538
20-11-2023,2937,3034,2905.199951,2996.100098,2984.700928,1103012
21-11-2023,3020,3032.149902,2921.350098,2952.199951,2940.967773,452737
22-11-2023,2956,3010,2927.399902,2960.399902,2949.136475,732561
23-11-2023,2969.899902,2998.199951,2935.100098,2952.5,2941.266602,280446
24-11-2023,2970,3080,2970,3043.050049,3031.472168,1325755
28-11-2023,3068,3195,3060,3069.399902,3057.721924,1295226
29-11-2023,3100.899902,3121.149902,3027,3088.199951,3076.450439,753104
30-11-2023,3075.5,3108.899902,3058.199951,3067.25,3055.580078,616998
01-12-2023,3080,3125,3030.100098,3055.550049,3043.924561,517392
04-12-2023,3110,3110,2956.600098,2972.5,2961.190674,695136
05-12-2023,2998,2998,2903,2938.100098,2926.921631,831581
06-12-2023,2990,3245.050049,2977.199951,3142.050049,3130.095459,3185256
07-12-2023,3160.050049,3162.449951,3054,3072.5,3060.810059,673193
08-12-2023,3091,3097,2940.100098,2956.149902,2944.902588,645800
11-12-2023,2986,3037,2950,2979.149902,2967.815186,657050
12-12-2023,2990.100098,3080,2974.050049,3065.949951,3054.284912,743029
13-12-2023,3067.050049,3095.25,2966,3038.399902,3026.839844,420389
14-12-2023,3070.050049,3225,3070.050049,3193.550049,3181.399658,1306403
15-12-2023,3193.550049,3304.25,3160.199951,3261.300049,3248.891846,1066026
18-12-2023,3248,3385,3177.050049,3355.300049,3342.53418,642233
19-12-2023,3338,3373,3261.300049,3282.100098,3269.612793,346865
20-12-2023,3285,3349.949951,3125,3180.449951,3168.349365,688979
21-12-2023,3180.449951,3282.350098,3134.149902,3248.100098,3235.742188,395985
22-12-2023,3282.5,3342.199951,3260.350098,3292.350098,3279.82373,227632
26-12-2023,3300,3350,3258.5,3288.199951,3275.689453,208478
27-12-2023,3305,3341,3279.100098,3316.550049,3303.931641,287730
28-12-2023,3325,3444.949951,3303.300049,3419.100098,3406.091553,392007
29-12-2023,3435,3505,3375,3487.800049,3474.530029,541193
01-01-2024,3484,3618.899902,3463.800049,3583.300049,3569.666748,313160
02-01-2024,3600,3642,3483.25,3535.949951,3522.496826,286624
03-01-2024,3516.949951,3524,3465,3479.399902,3466.161865,181722
04-01-2024,3596,3750,3550.050049,3582.050049,3568.421387,846399
05-01-2024,3605,3772.800049,3605,3744.100098,3729.85498,338899
08-01-2024,3760,3884.149902,3752.5,3805.649902,3791.170654,437238
09-01-2024,3829.399902,3896,3692.550049,3762.600098,3748.284668,432937
10-01-2024,3789.699951,3814.949951,3695,3760.100098,3745.794189,243139
11-01-2024,3800,3835.199951,3750,3787.699951,3773.289063,200310
12-01-2024,3824.899902,3824.899902,3750.199951,3795.399902,3780.959717,150616
15-01-2024,3795.399902,3795.399902,3795.399902,3795.399902,3780.959717,0
16-01-2024,3500,3605,3280,3329.899902,3317.230713,2784753
17-01-2024,3390,3494,3240.149902,3333.350098,3320.667725,1415266
18-01-2024,3371,3388,3270,3294.600098,3282.065186,462958
19-01-2024,3349.899902,3377.600098,3297,3338,3325.300049,241730
23-01-2024,3275,3296.449951,2930,2972.449951,2972.449951,618379
24-01-2024,2995,3044,2876.050049,2936.649902,2936.649902,843096
25-01-2024,2960,2981,2843.5,2921.199951,2921.199951,658771
29-01-2024,2921.199951,2959,2846.25,2950.300049,2950.300049,776276
30-01-2024,2967.949951,3114.399902,2951.050049,3093.75,3093.75,661400
31-01-2024,3117,3299,3071.300049,3285.350098,3285.350098,558315
01-02-2024,3290,3377.899902,3285,3358.850098,3358.850098,489470
02-02-2024,3399.899902,3436.100098,3221,3338.350098,3338.350098,424636
05-02-2024,3325,3354.550049,3192,3212.550049,3212.550049,244132
06-02-2024,3212.649902,3253.199951,3060.199951,3132.5,3132.5,337693
07-02-2024,3219,3363.449951,3202.800049,3345,3345,457752
08-02-2024,3363,3438.199951,3363,3398.399902,3398.399902,366387
09-02-2024,3418.699951,3437.600098,3301,3394.350098,3394.350098,206713
12-02-2024,3400,3418.149902,3180,3204.199951,3204.199951,209280
13-02-2024,3204.199951,3283.399902,3117.050049,3263.050049,3263.050049,172574
14-02-2024,3225,3293.449951,3192.75,3275.850098,3275.850098,138884
15-02-2024,3305.300049,3318.449951,3251.600098,3269.75,3269.75,136826
16-02-2024,3287,3308.949951,3235.25,3275.149902,3275.149902,94931
19-02-2024,3295,3304.100098,3156.949951,3229.350098,3229.350098,123064
20-02-2024,3239.399902,3270,3124.449951,3149.100098,3149.100098,218690
21-02-2024,3170,3185.800049,3080,3089.350098,3089.350098,131298
22-02-2024,3127.449951,3143.449951,3036,3063.600098,3063.600098,282345
23-02-2024,3120,3125,3022.100098,3038.350098,3038.350098,320652
26-02-2024,3040,3092.100098,2956.100098,2972.899902,2972.899902,310403
27-02-2024,3025,3025,2910,2917.800049,2917.800049,365886
28-02-2024,2944,2945,2856.550049,2867.199951,2867.199951,223116
29-02-2024,2869,2900,2750.5,2782.699951,2782.699951,685326
01-03-2024,2816.949951,2892,2794.050049,2813.899902,2813.899902,469886
04-03-2024,2925,2955.399902,2800,2878.699951,2878.699951,1009984
05-03-2024,2900,2915.449951,2852.100098,2882.5,2882.5,193497
06-03-2024,2875,2877.800049,2750,2760.050049,2760.050049,326018
07-03-2024,2784.25,2823.100098,2725.100098,2736.149902,2736.149902,261260
11-03-2024,2739.350098,2750.899902,2625,2674.449951,2674.449951,406809
12-03-2024,2684.399902,2685.5,2502,2526.100098,2526.100098,554136
13-03-2024,2538.800049,2560.699951,2335.399902,2435.199951,2435.199951,811940
14-03-2024,2445.899902,2685,2422.75,2650,2650,814104
15-03-2024,2693,2704,2511,2624.949951,2624.949951,477531
